date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:00	124326/124326	---MCZ	200	added ('OK')	text/html	etag:W/%226381f877-1e5a6%22	https://htmldemo.net/harosa/harosa-v2/shop.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/shop.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:01	70196/70196	---MCZ	200	added ('OK')	text/html	etag:W/%226381f860-11234%22	https://htmldemo.net/harosa/harosa-v2/blog.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/blog.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:01	59111/59111	---MCZ	200	added ('OK')	text/html	etag:W/%226381f85e-e6e7%22	https://htmldemo.net/harosa/harosa-v2/about-us.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/about-us.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:02	58938/58938	---MCZ	200	added ('OK')	text/html	etag:W/%226381f864-e63a%22	https://htmldemo.net/harosa/harosa-v2/contact-us.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/contact-us.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:02	67264/67264	---MCZ	200	added ('OK')	text/html	etag:W/%226381f875-106c0%22	https://htmldemo.net/harosa/harosa-v2/service.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/service.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:02	62636/62636	---MCZ	200	added ('OK')	text/html	etag:W/%226381f870-f4ac%22	https://htmldemo.net/harosa/harosa-v2/portfolio.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/portfolio.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:03	64318/64318	---MCZ	200	added ('OK')	text/html	etag:W/%226381f864-fb3e%22	https://htmldemo.net/harosa/harosa-v2/faq.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/faq.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:03	51090/51090	---MCZ	200	added ('OK')	text/html	etag:W/%226381f85e-c792%22	https://htmldemo.net/harosa/harosa-v2/404.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/404.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:04	67922/67922	---MCZ	200	added ('OK')	text/html	etag:W/%226381f87c-10952%22	https://htmldemo.net/harosa/harosa-v2/single-blog.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/single-blog.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:05	68350/68350	---MCZ	200	added ('OK')	text/html	etag:W/%226381f860-10afe%22	https://htmldemo.net/harosa/harosa-v2/blog-no-sidebar.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/blog-no-sidebar.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:05	67806/67806	---MCZ	200	added ('OK')	text/html	etag:W/%226381f879-108de%22	https://htmldemo.net/harosa/harosa-v2/single-blog-audio.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/single-blog-audio.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:05	67812/67812	---MCZ	200	added ('OK')	text/html	etag:W/%226381f879-108e4%22	https://htmldemo.net/harosa/harosa-v2/single-blog-gallery.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/single-blog-gallery.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:06	67551/67551	---MCZ	200	added ('OK')	text/html	etag:W/%226381f87c-107df%22	https://htmldemo.net/harosa/harosa-v2/single-blog-video.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/single-blog-video.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:06	124334/124334	---MCZ	200	added ('OK')	text/html	etag:W/%226381f875-1e5ae%22	https://htmldemo.net/harosa/harosa-v2/shop-list.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/shop-list.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:06	124410/124410	---MCZ	200	added ('OK')	text/html	etag:W/%226381f877-1e5fa%22	https://htmldemo.net/harosa/harosa-v2/shop-right.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/shop-right.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:07	85856/85856	---MCZ	200	added ('OK')	text/html	etag:W/%226381f87e-14f60%22	https://htmldemo.net/harosa/harosa-v2/single-product.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/single-product.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:07	54997/54997	---MCZ	200	added ('OK')	text/html	etag:W/%226381f862-d6d5%22	https://htmldemo.net/harosa/harosa-v2/cart.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/cart.html	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:07	440/440	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:08%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/product/cat/cat1.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/product/cat/cat1.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:08	2548/2548	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:08%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/product/cat/cat2.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/product/cat/cat2.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:09	25378/25378	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:09%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/slider/2.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/slider/2.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:10	9784/9784	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:10%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/product/round/thumb-1.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/product/round/thumb-1.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:10	65774/65774	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:09%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/slider/1.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/slider/1.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:10	10356/10356	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:11%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/product/round/thumb-2.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/product/round/thumb-2.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:10	7938/7938	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:11%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/product/round/thumb-3.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/product/round/thumb-3.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:17:11	25918/25918	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:17:11%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/banner/1_1.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/banner/1_1.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
